Common_name,Functional_group,Attribute_type,Attribute_name,Data_quality,Low,Moderate,High,Very_high,Mean,Component_score,Vulnerability_rank,Region
Blue Crab,Shellfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,Very High,neva
Blue Crab,Shellfish,Exposure,Variability in Precipitation,3,13,7,0,0,1.35,Very High,Very High,neva
Blue Crab,Shellfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,Very High,neva
Blue Crab,Shellfish,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Adult Mobility,2.8,9,14,2,0,1.72,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Complexity in Reproductive Strategy,2.8,0,4,17,4,3,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Dispersal of Early Life Stages,3,10,14,1,0,1.64,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Early Life History Survival and Settlement Requirements,2.8,0,9,13,3,2.76,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Habitat Specificity,3,3,12,8,2,2.36,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Other Stressors,2.4,0,6,13,6,3,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Population Growth Rate,3,19,6,0,0,1.24,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Prey Specificity,2.8,22,3,0,0,1.12,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Sensitivity to Ocean Acidification,2.6,16,4,4,1,1.6,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Sensitivity to Temperature,3,10,14,1,0,1.64,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Spawning Cycle,3,1,18,6,0,2.2,High,Very High,neva
Blue Crab,Shellfish,Sensitivity,Stock Size/Status,2,2,7,10,6,2.8,High,Very High,neva
Blue Mussel,Shellfish,Exposure,Currents,1,7,8,3,2,2,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,0,7,13,3.65,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Mean Precipitation,3,14,6,0,0,1.3,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Mean Sea Surface Salinity,3,12,7,1,0,1.45,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Ocean Acidification,2,0,0,0,20,4,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Sea Level Rise,1.5,3,12,4,1,2.15,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Variability in Precipitation,3,13,7,0,0,1.35,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,Very High,neva
Blue Mussel,Shellfish,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Adult Mobility,3,0,0,5,20,3.8,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Complexity in Reproductive Strategy,2.8,13,9,3,0,1.6,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Dispersal of Early Life Stages,2.8,3,9,12,1,2.44,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Early Life History Survival and Settlement Requirements,2.8,8,10,6,1,2,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Habitat Specificity,3,3,13,8,1,2.28,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Other Stressors,2,2,14,9,0,2.28,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Population Growth Rate,2.1,12,12,1,0,1.56,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Prey Specificity,3,11,11,3,0,1.68,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Sensitivity to Ocean Acidification,2.2,1,2,3,19,3.6,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Sensitivity to Temperature,2.9,16,8,1,0,1.4,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Spawning Cycle,2.7,5,17,3,0,1.92,High,Very High,neva
Blue Mussel,Shellfish,Sensitivity,Stock Size/Status,0.8,6,13,4,2,2.08,High,Very High,neva
Blueback Herring,Diadromous,Exposure,Currents,1,7,8,3,2,2,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,0,0,20,4,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Mean Precipitation,3,14,6,0,0,1.3,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Mean Sea Surface Salinity,3,9,7,3,1,1.8,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Ocean Acidification,2,0,0,0,20,4,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Sea Level Rise,1.5,2,8,5,5,2.65,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Variability in Air Temperature,3,20,0,0,0,1,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Variability in Precipitation,3,13,7,0,0,1.35,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,Very High,neva
Blueback Herring,Diadromous,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Adult Mobility,2.8,18,7,0,0,1.28,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Complexity in Reproductive Strategy,3,0,3,13,9,3.24,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Dispersal of Early Life Stages,2.6,0,3,14,8,3.2,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Early Life History Survival and Settlement Requirements,2.55,0,2,14,9,3.28,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Habitat Specificity,3,8,6,7,4,2.28,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Other Stressors,2,1,11,7,6,2.72,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Population Growth Rate,2,2,14,9,0,2.28,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Prey Specificity,2.95,8,15,2,0,1.76,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Sensitivity to Ocean Acidification,2.2,14,10,1,0,1.48,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Sensitivity to Temperature,3,8,14,3,0,1.8,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Spawning Cycle,2.8,0,1,10,14,3.52,High,Very High,neva
Blueback Herring,Diadromous,Sensitivity,Stock Size/Status,1.2,2,7,12,4,2.72,High,Very High,neva
Bluefish,Pelagics,Exposure,Currents,1,3,11,6,0,2.15,High,Low,neva
Bluefish,Pelagics,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,8,4,5,3,2.15,High,Low,neva
Bluefish,Pelagics,Exposure,Mean Precipitation,3,18,2,0,0,1.1,High,Low,neva
Bluefish,Pelagics,Exposure,Mean Sea Surface Salinity,3,3,5,10,2,2.55,High,Low,neva
Bluefish,Pelagics,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,High,Low,neva
Bluefish,Pelagics,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Low,neva
Bluefish,Pelagics,Exposure,Sea Level Rise,1.5,12,6,2,0,1.5,High,Low,neva
Bluefish,Pelagics,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Low,neva
Bluefish,Pelagics,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Low,neva
Bluefish,Pelagics,Exposure,Variability in Precipitation,3,18,2,0,0,1.1,High,Low,neva
Bluefish,Pelagics,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Low,neva
Bluefish,Pelagics,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,High,Low,neva
Bluefish,Pelagics,Sensitivity,Adult Mobility,2.8,23,2,0,0,1.08,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Complexity in Reproductive Strategy,2.6,10,12,3,0,1.72,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Dispersal of Early Life Stages,2.7,14,11,0,0,1.44,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Early Life History Survival and Settlement Requirements,2.7,1,7,15,2,2.72,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Habitat Specificity,3,5,18,2,0,1.88,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Other Stressors,2.4,4,13,8,0,2.16,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Population Growth Rate,2.8,4,20,1,0,1.88,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Prey Specificity,3,23,2,0,0,1.08,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Sensitivity to Ocean Acidification,2.4,19,6,0,0,1.24,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Sensitivity to Temperature,3,22,3,0,0,1.12,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Spawning Cycle,3,1,24,0,0,1.96,Low,Low,neva
Bluefish,Pelagics,Sensitivity,Stock Size/Status,3,1,23,1,0,2,Low,Low,neva
Butterfish,Pelagics,Exposure,Currents,1,3,11,6,0,2.15,High,Low,neva
Butterfish,Pelagics,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,8,4,5,3,2.15,High,Low,neva
Butterfish,Pelagics,Exposure,Mean Precipitation,3,18,2,0,0,1.1,High,Low,neva
Butterfish,Pelagics,Exposure,Mean Sea Surface Salinity,3,6,7,5,2,2.15,High,Low,neva
Butterfish,Pelagics,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,High,Low,neva
Butterfish,Pelagics,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Low,neva
Butterfish,Pelagics,Exposure,Sea Level Rise,1.5,12,6,2,0,1.5,High,Low,neva
Butterfish,Pelagics,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Low,neva
Butterfish,Pelagics,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Low,neva
Butterfish,Pelagics,Exposure,Variability in Precipitation,3,18,2,0,0,1.1,High,Low,neva
Butterfish,Pelagics,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Low,neva
Butterfish,Pelagics,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,High,Low,neva
Butterfish,Pelagics,Sensitivity,Adult Mobility,2.6,22,3,0,0,1.12,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Complexity in Reproductive Strategy,2.4,14,10,1,0,1.48,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Dispersal of Early Life Stages,2.5,16,9,0,0,1.36,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Early Life History Survival and Settlement Requirements,2.2,5,12,8,0,2.12,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Habitat Specificity,2.9,15,8,2,0,1.48,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Other Stressors,1.8,18,5,2,0,1.36,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Population Growth Rate,2.5,23,2,0,0,1.08,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Prey Specificity,2.6,12,12,1,0,1.56,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Sensitivity to Ocean Acidification,2.6,16,7,2,0,1.44,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Sensitivity to Temperature,2.8,7,17,1,0,1.76,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Spawning Cycle,2.8,1,18,6,0,2.2,Low,Low,neva
Butterfish,Pelagics,Sensitivity,Stock Size/Status,2.2,21,3,1,0,1.2,Low,Low,neva
Cancer Crabs,Shellfish,Exposure,Currents,1,3,11,6,0,2.15,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,5,3,4,8,2.75,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Mean Precipitation,3,17,3,0,0,1.15,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Mean Sea Surface Salinity,3,7,7,6,0,1.95,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Sea Level Rise,1.5,11,5,1,3,1.8,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Variability in Precipitation,3,17,3,0,0,1.15,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Moderate,neva
Cancer Crabs,Shellfish,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Adult Mobility,1.9,1,7,16,1,2.68,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Complexity in Reproductive Strategy,2,19,6,0,0,1.24,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Dispersal of Early Life Stages,3,8,17,0,0,1.68,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Early Life History Survival and Settlement Requirements,2.2,5,16,4,0,1.96,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Habitat Specificity,2.2,19,6,0,0,1.24,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Other Stressors,1.6,7,11,7,0,2,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Population Growth Rate,1.6,18,7,0,0,1.28,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Prey Specificity,2.4,23,2,0,0,1.08,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Sensitivity to Ocean Acidification,2.6,12,2,5,6,2.2,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Sensitivity to Temperature,3,9,12,3,1,1.84,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Spawning Cycle,2,3,8,9,5,2.64,Moderate,Moderate,neva
Cancer Crabs,Shellfish,Sensitivity,Stock Size/Status,0.8,9,9,5,2,2,Moderate,Moderate,neva
Channeled Whelk,Shellfish,Exposure,Currents,1,7,8,3,2,2,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,1,8,11,3.5,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Mean Precipitation,3,14,6,0,0,1.3,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Mean Sea Surface Salinity,3,11,7,2,0,1.55,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Ocean Acidification,2,0,0,0,20,4,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Sea Level Rise,1.5,11,6,2,1,1.65,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Variability in Precipitation,3,14,6,0,0,1.3,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,Very High,neva
Channeled Whelk,Shellfish,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Adult Mobility,1.8,0,4,21,0,2.84,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Complexity in Reproductive Strategy,2.1,13,10,1,1,1.6,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Dispersal of Early Life Stages,2.55,1,2,5,17,3.52,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Early Life History Survival and Settlement Requirements,1.8,6,11,8,0,2.08,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Habitat Specificity,2.15,15,10,0,0,1.4,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Other Stressors,1.1,9,13,3,0,1.76,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Population Growth Rate,2.3,0,9,10,6,2.88,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Prey Specificity,2.15,16,8,1,0,1.4,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Sensitivity to Ocean Acidification,2.6,0,0,3,22,3.88,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Sensitivity to Temperature,2.6,7,16,2,0,1.8,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Spawning Cycle,2.4,0,7,11,7,3,High,Very High,neva
Channeled Whelk,Shellfish,Sensitivity,Stock Size/Status,0.4,5,11,6,3,2.28,High,Very High,neva
Clearnose Skate,Elasmobranch,Exposure,Currents,1,3,11,6,0,2.15,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,20,0,0,0,1,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Mean Precipitation,3,20,0,0,0,1,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Mean Sea Surface Salinity,3,3,5,8,4,2.65,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Sea Level Rise,1.5,18,2,0,0,1.1,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Variability in Precipitation,3,20,0,0,0,1,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Low,neva
Clearnose Skate,Elasmobranch,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Adult Mobility,2.2,8,13,4,0,1.84,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Complexity in Reproductive Strategy,2.2,19,6,0,0,1.24,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Dispersal of Early Life Stages,3,6,11,8,0,2.08,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Early Life History Survival and Settlement Requirements,3,24,1,0,0,1.04,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Habitat Specificity,3,20,5,0,0,1.2,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Other Stressors,1.2,20,5,0,0,1.2,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Population Growth Rate,1.6,0,7,15,3,2.84,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Prey Specificity,3,21,4,0,0,1.16,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Sensitivity to Ocean Acidification,2.2,16,9,0,0,1.36,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Sensitivity to Temperature,2.7,4,14,3,4,2.28,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Spawning Cycle,2.4,7,13,5,0,1.92,Low,Low,neva
Clearnose Skate,Elasmobranch,Sensitivity,Stock Size/Status,2.4,5,14,4,2,2.12,Low,Low,neva
Conger Eel,Diadromous,Exposure,Currents,1,3,10,6,1,2.25,Very High,High,neva
Conger Eel,Diadromous,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,0,0,0,20,4,Very High,High,neva
Conger Eel,Diadromous,Exposure,Mean Precipitation,3,14,6,0,0,1.3,Very High,High,neva
Conger Eel,Diadromous,Exposure,Mean Sea Surface Salinity,3,3,9,6,2,2.35,Very High,High,neva
Conger Eel,Diadromous,Exposure,Mean Sea Surface Temperature,3,0,0,1,19,3.95,Very High,High,neva
Conger Eel,Diadromous,Exposure,Ocean Acidification,2,0,0,0,20,4,Very High,High,neva
Conger Eel,Diadromous,Exposure,Sea Level Rise,1.5,5,7,3,5,2.4,Very High,High,neva
Conger Eel,Diadromous,Exposure,Variability in Air Temperature,3,20,0,0,0,1,Very High,High,neva
Conger Eel,Diadromous,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,Very High,High,neva
Conger Eel,Diadromous,Exposure,Variability in Precipitation,3,13,7,0,0,1.35,Very High,High,neva
Conger Eel,Diadromous,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,Very High,High,neva
Conger Eel,Diadromous,Exposure,Variability in Sea Surface Temperature,3,19,1,0,0,1.05,Very High,High,neva
Conger Eel,Diadromous,Sensitivity,Adult Mobility,1.8,14,10,1,0,1.48,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Complexity in Reproductive Strategy,1.9,2,13,9,1,2.36,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Dispersal of Early Life Stages,2.8,19,5,1,0,1.28,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Early Life History Survival and Settlement Requirements,1.8,2,9,13,1,2.52,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Habitat Specificity,2.95,4,10,7,4,2.44,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Other Stressors,1.2,3,12,4,6,2.52,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Population Growth Rate,0.8,7,11,4,3,2.12,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Prey Specificity,2.1,14,8,2,1,1.6,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Sensitivity to Ocean Acidification,1.3,20,5,0,0,1.2,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Sensitivity to Temperature,2.8,10,14,1,0,1.64,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Spawning Cycle,2.4,1,3,18,3,2.92,Moderate,High,neva
Conger Eel,Diadromous,Sensitivity,Stock Size/Status,0.5,5,9,7,4,2.4,Moderate,High,neva
Cusk,Groundfish,Exposure,Currents,1,3,11,6,0,2.15,High,High,neva
Cusk,Groundfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,20,0,0,0,1,High,High,neva
Cusk,Groundfish,Exposure,Mean Precipitation,3,20,0,0,0,1,High,High,neva
Cusk,Groundfish,Exposure,Mean Sea Surface Salinity,3,18,2,0,0,1.1,High,High,neva
Cusk,Groundfish,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,High,High,neva
Cusk,Groundfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,High,neva
Cusk,Groundfish,Exposure,Sea Level Rise,1.5,18,2,0,0,1.1,High,High,neva
Cusk,Groundfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,High,neva
Cusk,Groundfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,High,neva
Cusk,Groundfish,Exposure,Variability in Precipitation,3,20,0,0,0,1,High,High,neva
Cusk,Groundfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,High,neva
Cusk,Groundfish,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,High,neva
Cusk,Groundfish,Sensitivity,Adult Mobility,2.4,0,7,18,0,2.72,High,High,neva
Cusk,Groundfish,Sensitivity,Complexity in Reproductive Strategy,1.5,18,7,0,0,1.28,High,High,neva
Cusk,Groundfish,Sensitivity,Dispersal of Early Life Stages,2.2,12,7,6,0,1.76,High,High,neva
Cusk,Groundfish,Sensitivity,Early Life History Survival and Settlement Requirements,0.2,3,9,9,4,2.56,High,High,neva
Cusk,Groundfish,Sensitivity,Habitat Specificity,2.4,0,9,15,1,2.68,High,High,neva
Cusk,Groundfish,Sensitivity,Other Stressors,0.8,15,8,2,0,1.48,High,High,neva
Cusk,Groundfish,Sensitivity,Population Growth Rate,1.6,1,3,13,8,3.12,High,High,neva
Cusk,Groundfish,Sensitivity,Prey Specificity,2.4,22,3,0,0,1.12,High,High,neva
Cusk,Groundfish,Sensitivity,Sensitivity to Ocean Acidification,1.6,19,6,0,0,1.24,High,High,neva
Cusk,Groundfish,Sensitivity,Sensitivity to Temperature,2.4,5,14,6,0,2.04,High,High,neva
Cusk,Groundfish,Sensitivity,Spawning Cycle,2.4,0,4,17,4,3,High,High,neva
Cusk,Groundfish,Sensitivity,Stock Size/Status,0.4,3,4,9,9,2.96,High,High,neva
Deep-sea Red Crab,Shellfish,Exposure,Currents,1,3,11,6,0,2.15,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Air Temperature (Proxy for Nearshore Ocean Temp),3,20,0,0,0,1,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Mean Precipitation,3,20,0,0,0,1,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Mean Sea Surface Salinity,3,8,9,3,0,1.75,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Mean Sea Surface Temperature,3,0,0,2,18,3.9,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Ocean Acidification,2,0,0,0,20,4,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Sea Level Rise,1.5,18,2,0,0,1.1,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Variability in Air Temperature,3,20,0,0,0,1,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Variability in Ocean Acidification,2.25,20,0,0,0,1,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Variability in Precipitation,3,20,0,0,0,1,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Variability in Sea Surface Salinity,3,16,4,0,0,1.2,High,Low,neva
Deep-sea Red Crab,Shellfish,Exposure,Variability in Sea Surface Temperature,3,20,0,0,0,1,High,Low,neva
Deep-sea Red Crab,Shellfish,Sensitivity,Adult Mobility,2.6,5,13,7,0,2.08,Low,Low,neva
Deep-sea Red Crab,Shellfish,Sensitivity,Complexity in Reproductive Strategy,2.55,15,9,1,0,1.44,Low,Low,neva
Deep-sea Red Crab,Shellfish,Sensitivity,Dispersal of Early Life Stages,2.4,14,10,1,0,1.48,Low,Low,neva
Deep-sea Red Crab,Shellfish,Sensitivity,Early Life History Survival and Settlement Requirements,1.2,9,13,3,0,1.76,Low,Low,neva
Deep-sea Red Crab,Shellfish,Sensitivity,Habitat Specificity,3,18,7,0,0,1.28,Low,Low,neva
Deep-sea Red Crab,Shellfish,Sensitivity,Other Stressors,2,13,11,1,0,1.52,Low,Low,neva
Deep-sea Red Crab,Shellfish,Sensitivity,Population Growth Rate,1.4,4,15,5,1,2.12,Low,Low,neva
