Ecosystem,Survey Type,Survey Name,Entity Name,Assessment Year,Assessment Month,Degree of Influence
Atlantic Highly Migratory,Other Survey,SEAMAP-GoM Extended Summer (SEDAR 13-DW-31: Nichols: Indexes of abundance for small coastal sharks from the SEAMAP trawl surveys),Atlantic Small Coastal Shark Complex,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Texas (SEDAR 13-DW-18: Fisher: Fishery-Independent Catch of Small Coastal Sharks in Texas Bays, 1975-2006)",Finetooth shark - Atlantic,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"Texas (SEDAR 13-DW-18: Fisher: Fishery-Independent Catch of Small Coastal Sharks in Texas Bays, 1975-2006)",Atlantic Small Coastal Shark Complex,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Texas (SEDAR 13-DW-18: Fisher: Fishery-Independent Catch of Small Coastal Sharks in Texas Bays, 1975-2006)",Atlantic sharpnose shark - Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Texas PWD GN ? All Bubley and Carlson WP-12 TX Bays 92-10 April-June, Sept-Nov No/net hour Independent Lo Method Length Frequencies All Long time series, High spatial coverage across Texas Base ? Model include only Age-1+ (TEXAS)",Blacktip shark - Gulf of Mexico,2018,9,Exploratory
Atlantic Highly Migratory,Other Survey,"The bouy associated index (BAI) index was modelled as linked to respective seasonal PS FAD fleets, which improved fit to the index. The EUPSFS index was linked to the PS EU FSC 91 season 1 where much of the catch comes from. Indices were input as annual indices, except the BAI index that maintained their seasonal information, with a mean CV=0.2 for the LL indices and 0.3 for the BAI and EUPSFS indices but allowed to vary with the interannual variability in the estimated standard error of the index.",Yellowfin tuna - Western Atlantic,2024,7,Primary
Atlantic Highly Migratory,Other Survey,"UNC (SEDAR 13-DW-34: Schwartz et al.: Trends in relative abundance of shark species caught during a University of North Carolina longline survey between 1972 and 2005 in Onslow Bay, NC)",Atlantic Small Coastal Shark Complex,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"UNC (SEDAR 13-DW-34: Schwartz et al.: Trends in relative abundance of shark species caught during a University of North Carolina longline survey between 1972 and 2005 in Onslow Bay, NC)",Atlantic sharpnose shark - Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,US GOM Larval Survey,Swordfish - North Atlantic,2022,6,Exploratory
Atlantic Highly Migratory,Other Survey,"University of North Carolina (UNC) bottom longline survey conducted biweekly from April-November, 1972-2009, at two fixed stations in Onslow Bay south of Shackleford Banks, North Carolina.",Blacknose shark - Atlantic,2011,4,Primary
Atlantic Highly Migratory,Other Survey,VA LL (SEDAR 13-DW-19: Grubbs et al.: Occurrence of small coastal sharks and standardized catch rates of Atlantic sharpnose sharks in the VIMS Longline Survey: 1974-2005),Atlantic sharpnose shark - Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,VIMS Bottom Longline Robust Series,Blacktip shark - Atlantic,2021,1,Primary
Atlantic Highly Migratory,Other Survey,VIMS Longline SEDAR21-DW-18 Virginia Institute of Marine Science Other Survey Primary (Intermittent 1975-2009),Sandbar shark - Atlantic,2018,3,Primary
Atlantic Highly Migratory,Other Survey,"Virginia Institute of Marine Sciences Long Line Survey, a fisheries-independent survey 1972 - 2016",Dusky shark - Atlantic,2016,9,Primary
Atlantic Highly Migratory,Other Survey,Virginia Shark Monitoring and Assessment Program (VASMAP) 1974 - present,Atlantic sharpnose shark - Atlantic,2013,10,Primary
Atlantic Highly Migratory,Other Survey,"[Longline Shark/Red Snapper_Summer?] Mississippi Lab BLL (NMFS LL SE) Ingram WP-03 TX-FL 95-10 Aug-Sept No/100 hook hour Independent Lo Method Length Frequencies Mostly Age-1+ Long time series, High spatial coverage Base",Blacktip shark - Gulf of Mexico,2018,9,Primary
Atlantic Highly Migratory,Other Survey,"[SEAMAP Inshore Longline?] Dauphin Island Sea Lab Drymon and Powers WP-11 Coastal AL 10-Jun Jan-Dec No/100 hook hour Independent Lo Method Length Frequencies Mostly immature Inshore survey, Same gear as NMFS SE LL Limited spatial coverage, Short time series Sensitivity (AL LL)",Blacktip shark - Gulf of Mexico,2018,9,Exploratory
Atlantic Highly Migratory,Other Survey,"[SEAMAP Inshore Longline?] GCRL Bottom LL ? All Hoffmayer et al. WP-14 MS Sound 04-10 (11) Mar-Oct No/100 hook hour Independent Lo Method Length Frequencies All Inshore survey Limited spatial coverage, Short time series Sensitivity ? Model includes Age-1+ (MS LL)",Blacktip shark - Gulf of Mexico,2018,9,Exploratory
Atlantic Highly Migratory,Other Survey,"[SEAMAP Inshore Longline?] Longline surveys combined Hoffmayer et al. WP-22 MS, AL, LA 10-Apr Jan-Dec No/100 hook hour Independent Lo Method Length Frequencies All Inshore survey Base (MS+MS-LA+AL LL)",Blacktip shark - Gulf of Mexico,2018,9,Primary
Atlantic Highly Migratory,Other Survey,"[SEAMAP Inshore Longline?] SEAMAP coastal LL Hoffmayer and Pollack WP-15 Coastal MS, LA 08-10 (11) Mar-Oct No/100 hook hour Independent Lo Method Frequencies All Inshore survey Limited spatial coverage, Short time series Sensitivity ? Model includes Age-1+ (MS-LA LL)",Blacktip shark - Gulf of Mexico,2018,9,Exploratory
Atlantic Highly Migratory,Other Survey,quarterly acoustic echosounder buoy index associated with FADs covering the period 2010-2019,Bigeye tuna - Atlantic,2021,10,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Blacktip shark - Atlantic,2021,1,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Blacktip shark - Gulf of Mexico,2018,9,Exploratory
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Blacktip shark - Gulf of Mexico,2018,9,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Blue marlin - Atlantic,2024,9,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Bluefin tuna - Western Atlantic,2021,10,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Dusky shark - Atlantic,2016,9,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Sailfish - Western Atlantic,2023,7,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,White marlin - Atlantic,2019,10,Primary
California Current,Commercial CPUE,Commercial CPUE,Bank rockfish - California,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Bank rockfish - California,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Black rockfish - Oregon | Asmt & Status,2023,7,Primary
California Current,Commercial CPUE,Commercial CPUE,Black-and-yellow rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Black-and-yellow rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Blackgill rockfish - Northern Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Blue rockfish - Northern Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Blue rockfish - Southern California,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Bocaccio - Northern Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Bocaccio - Southern Pacific Coast,2017,6,Primary
California Current,Commercial CPUE,Commercial CPUE,Bronzespotted rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Cabezon - Northern Pacific Coast,2019,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Chilipepper - Southern Pacific Coast,2017,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Copper rockfish - Oregon,2021,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Cowcod - Northern Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Flag rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Flag rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Gopher rockfish - Southern Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Grass rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Grass rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Greenblotched rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Greenblotched rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Honeycomb rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Honeycomb rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Kelp greenling - California,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Kelp rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Kelp rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Leopard shark - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Lingcod - Northern Pacific Coast,2021,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Lingcod - Pacific Coast,2009,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Lingcod - Southern Pacific Coast,2021,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Mexican rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Mexican rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Northern California Gopher / Black-and-Yellow Rockfish Complex,2019,9,Exploratory
California Current,Commercial CPUE,Commercial CPUE,Olive rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Olive rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Oregon Blue and Deacon Rockfish Complex,2017,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Pacific grenadier - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Pacific grenadier - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Pacific ocean perch - Pacific Coast,2017,11,Exploratory
California Current,Commercial CPUE,Commercial CPUE,Petrale sole - Pacific Coast,2023,7,Secondary
California Current,Commercial CPUE,Commercial CPUE,Pink rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Pink rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Quillback rockfish - California,2021,11,Primary
California Current,Commercial CPUE,Commercial CPUE,Quillback rockfish - Oregon,2021,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Quillback rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Quillback rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Quillback rockfish - Washington,2021,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Quillback rockfish - Washington,2021,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Redbanded rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Redbanded rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Redstripe rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Redstripe rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Rock sole - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Rock sole - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Rosethorn rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Rosethorn rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Rosy rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Rosy rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Rougheye rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Rougheye rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Sand sole - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Sand sole - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Shortraker rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Shortraker rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Silvergray rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Silvergray rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Speckled rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Speckled rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Starry flounder - Pacific Coast,2005,12,Primary
California Current,Commercial CPUE,Commercial CPUE,Starry rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Starry rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Swordspine rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Swordspine rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Tiger rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Tiger rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Tope - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Tope - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Treefish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Treefish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Vermilion rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Vermilion rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Yellowmouth rockfish - Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Yellowmouth rockfish - Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Yellowtail rockfish - Northern Pacific Coast,2017,9,Exploratory
California Current,FINSS Survey,CalCOFI_Fall,Cowcod - Southern California,2019,9,Primary
California Current,FINSS Survey,CalCOFI_Fall,Opalescent inshore squid - Pacific Coast,2006,10,Exploratory
California Current,FINSS Survey,CalCOFI_Spring,Bocaccio - Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,CalCOFI_Spring,Cabezon - California,2009,9,Exploratory
California Current,FINSS Survey,CalCOFI_Spring,Cabezon - Northern California | Asmt,2019,9,Exploratory
California Current,FINSS Survey,CalCOFI_Spring,Cabezon - Southern California | Asmt,2019,9,Exploratory
California Current,FINSS Survey,CalCOFI_Spring,Chilipepper - Southern Pacific Coast,2017,9,Exploratory
California Current,FINSS Survey,CalCOFI_Spring,Cowcod - Southern California,2019,9,Primary
California Current,FINSS Survey,CalCOFI_Spring,Greenspotted rockfish - Pacific Coast,2011,9,Exploratory
California Current,FINSS Survey,CalCOFI_Spring,Opalescent inshore squid - Pacific Coast,2006,10,Exploratory
California Current,FINSS Survey,CalCOFI_Spring,Shortbelly rockfish - Pacific Coast,2007,6,Primary
California Current,FINSS Survey,CalCOFI_Summer,Opalescent inshore squid - Pacific Coast,2006,10,Exploratory
California Current,FINSS Survey,CalCOFI_Winter,Bocaccio - Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,CalCOFI_Winter,Cabezon - California,2009,9,Exploratory
California Current,FINSS Survey,CalCOFI_Winter,Cabezon - Northern California | Asmt,2019,9,Exploratory
California Current,FINSS Survey,CalCOFI_Winter,Cabezon - Southern California | Asmt,2019,9,Exploratory
California Current,FINSS Survey,CalCOFI_Winter,Chilipepper - Southern Pacific Coast,2017,9,Exploratory
California Current,FINSS Survey,CalCOFI_Winter,Cowcod - Southern California,2019,9,Primary
California Current,FINSS Survey,CalCOFI_Winter,Greenspotted rockfish - Pacific Coast,2011,9,Exploratory
California Current,FINSS Survey,CalCOFI_Winter,Opalescent inshore squid - Pacific Coast,2006,10,Exploratory
California Current,FINSS Survey,CalCOFI_Winter,Shortbelly rockfish - Pacific Coast,2007,6,Primary
California Current,FINSS Survey,California Current Ecosystem Survey (CCES),Northern anchovy - Southern Pacific Coast,2022,6,Primary
California Current,FINSS Survey,California Current Ecosystem Survey (CCES),Pacific chub mackerel - Pacific Coast,2023,6,Primary
California Current,FINSS Survey,California Current Ecosystem Survey (CCES),Pacific sardine - Northern Subpopulation,2024,4,Primary
California Current,FINSS Survey,Coastal Pelagic Species (CPS)_Spring,Opalescent inshore squid - Pacific Coast,2006,10,Exploratory
California Current,FINSS Survey,Coastal Pelagic Species (CPS)_Summer,Opalescent inshore squid - Pacific Coast,2006,10,Exploratory
California Current,FINSS Survey,Cowcod,Cowcod - Southern California,2019,9,Primary
California Current,FINSS Survey,Hake Acoustic_Summer,Pacific hake - Pacific Coast,2024,2,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,Black rockfish - Southern Pacific Coast,2007,11,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,Blue rockfish - Northern California,2007,11,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,Bocaccio - Southern Pacific Coast,2017,6,Secondary
California Current,FINSS Survey,Juvenile Rockfish Survey,Cabezon - California,2009,9,Exploratory
California Current,FINSS Survey,Juvenile Rockfish Survey,Cabezon - Northern California | Asmt,2019,9,Exploratory
California Current,FINSS Survey,Juvenile Rockfish Survey,Cabezon - Southern California | Asmt,2019,9,Exploratory
California Current,FINSS Survey,Juvenile Rockfish Survey,California Blue and Deacon Rockfish Complex,2019,9,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,Canary rockfish - Pacific Coast,2023,9,Secondary
California Current,FINSS Survey,Juvenile Rockfish Survey,Chilipepper - Southern Pacific Coast,2017,9,Secondary
California Current,FINSS Survey,Juvenile Rockfish Survey,Cowcod - Southern California,2019,9,Exploratory
California Current,FINSS Survey,Juvenile Rockfish Survey,Greenspotted rockfish - Pacific Coast,2011,9,Exploratory
California Current,FINSS Survey,Juvenile Rockfish Survey,Oregon Blue and Deacon Rockfish Complex,2017,9,Exploratory
California Current,FINSS Survey,Juvenile Rockfish Survey,Shortbelly rockfish - Pacific Coast,2007,6,Secondary
California Current,FINSS Survey,Juvenile Rockfish Survey,Widow rockfish - Pacific Coast,2023,9,Primary
California Current,FINSS Survey,Northern Juvenile Fish,Pacific hake - Pacific Coast,2024,2,Exploratory
California Current,FINSS Survey,Sardine - Hake Acoustic Trawl Survey (SaKe),Pacific hake - Pacific Coast,2024,2,Primary
California Current,FINSS Survey,Untrawlable Habitat Adult Rockfish/Deepsea Corals (COAST)_Acoustics,Black rockfish - Southern Pacific Coast,2007,11,Exploratory
California Current,FINSS Survey,Untrawlable Habitat Adult Rockfish/Deepsea Corals (COAST)_Acoustics,Blue rockfish - Northern California,2007,11,Exploratory
California Current,FINSS Survey,Untrawlable Habitat Adult Rockfish/Deepsea Corals (COAST)_Acoustics,Chilipepper - Southern Pacific Coast,2017,9,Exploratory
California Current,FINSS Survey,Untrawlable Habitat Adult Rockfish/Deepsea Corals (COAST)_ROV,Blue rockfish - Northern California,2007,11,Exploratory
California Current,FINSS Survey,Untrawlable Habitat Adult Rockfish/Deepsea Corals (COAST)_ROV,Chilipepper - Southern Pacific Coast,2017,9,Exploratory
California Current,FINSS Survey,Untrawlable Habitat Adult Rockfish/Deepsea Corals (COAST)_ROV,Cowcod - Southern California,2019,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Arrowtooth flounder - Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Aurora rockfish - Pacific Coast,2013,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Big skate - Pacific Coast,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Blackgill rockfish - Southern California,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Bocaccio - Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Brown rockfish - Pacific Coast,2013,11,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Cabezon - Northern Pacific Coast,2019,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,California scorpionfish - Southern California,2017,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Canary rockfish - Pacific Coast,2023,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Chilipepper - Southern Pacific Coast,2017,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,China rockfish - Pacific Coast,2013,11,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,China rockfish - Southern Pacific Coast,2019,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Copper rockfish - Northern California,2023,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Copper rockfish - Pacific Coast,2013,11,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Copper rockfish - Southern California,2023,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Cowcod - Southern California,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Darkblotched rockfish - Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Dover sole - Pacific Coast,2021,6,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,English sole - Pacific Coast,2013,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Greenspotted rockfish - Pacific Coast,2011,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Greenstriped rockfish - Pacific Coast,2009,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Kelp greenling - Oregon | Asmt & Status,2015,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Lingcod - Northern Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Lingcod - Pacific Coast,2009,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Lingcod - Southern Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Longnose skate - Pacific Coast,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Longspine thornyhead - Pacific Coast,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Oregon Blue and Deacon Rockfish Complex,2017,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Pacific Coast Blackspotted and Rougheye Rockfish Complex | Asmt,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Pacific hake - Pacific Coast,2024,2,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Pacific ocean perch - Pacific Coast,2017,11,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Pacific sanddab - Pacific Coast,2013,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Petrale sole - Pacific Coast,2023,7,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Quillback rockfish - Oregon,2021,9,Secondary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Quillback rockfish - Washington,2021,9,Secondary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Rex sole - Pacific Coast,2023,7,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Sablefish - Pacific Coast,2023,8,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Sharpchin rockfish - Pacific Coast,2013,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Shortspine thornyhead - Pacific Coast,2023,7,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Spiny dogfish - Pacific Coast,2021,11,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Splitnose rockfish - Pacific Coast,2009,6,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Squarespot rockfish - Pacific Coast,2021,9,Secondary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Stripetail rockfish - Pacific Coast,2013,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Vermilion rockfish - Oregon,2021,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Vermilion rockfish - Washington,2021,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Vermilion rockfish and Sunset rockfish Complex - Northern California | Asmt,2021,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Vermilion rockfish and Sunset rockfish Complex - Southern California | Asmt,2021,9,Exploratory
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Widow rockfish - Pacific Coast,2023,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Yelloweye rockfish - Pacific Coast,2023,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Yellowtail rockfish - Northern Pacific Coast,2017,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Bocaccio - Southern Pacific Coast,2017,6,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Copper rockfish - Southern California,2023,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Cowcod - Southern California,2019,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Greenspotted rockfish - Pacific Coast,2011,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Lingcod - Southern Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Squarespot rockfish - Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Vermilion rockfish and Sunset rockfish Complex - Southern California | Asmt,2021,9,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - California Central Valley: Sacramento River Fall,2024,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - California Central Valley: Sacramento River Spring,2024,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - California Central Valley: Sacramento River Winter,2024,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,2024,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,2024,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,2024,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: North Lewis River Fall,2024,2,Primary
California Current,Other Method,"Abundance is assessed at the stock level as mature fish in freshwater by State, Tribal, and Federal agencies (co-managers), using a variety of methods and metrics.",Chinook salmon - Columbia River Basin: Snake River Fall,2024,2,Primary
